DYE,Molecule spectrum absorption maxima teorica,1000cm-1,E (eV),fuerza del oscilador (f) teorica,Dureza quimica,Electrofilicidad (w),Poder electrodonador (w-),Poder electroaceptor (w+),HOMO (eV),LUMO (eV),Energia exit,DeltaGinj,Voc teorico,DeltaGreg,DeltaGrec,Gap teorico,Energia de enlace del exit¢n ,Tiempo de vida del estado excitado (nS),Eficiencia de recoleccion de luz teorico,Eficiencia experimental
2527,439.1,22.8,2.82,1.3281,8.852603995,0.574773687,0.107804742,3.297865505,-5.421599336,-2.272696128,-2.601599336,1.338400664,1.667303872,0.581599336,1.481599336,3.148903208,0.328903208,2.171206658,0.953021408,2.34
2528,440.7,22.7,2.81,1.2591,8.902101537,0.57515722,0.106678916,3.306712658,-5.43819829,-2.294193134,-2.62819829,1.31180171,1.645806866,0.59819829,1.49819829,3.144005156,0.334005156,2.310413399,0.944931912,2.51
2529,441.3,22.7,2.81,1.2974,8.908414582,0.573176974,0.105303505,3.300956212,-5.431667554,-2.296370046,-2.621667554,1.318332446,1.643629954,0.591667554,1.491667554,3.135297508,0.325297508,2.242208656,0.94958033,1.82
2621,461.8,21.7,2.68,0.8065,10.51149274,0.499676969,0.035774359,3.276870108,-5.618065644,-2.948899418,-2.938065644,1.001934356,0.991100582,0.778065644,1.678065644,2.669166226,-0.010833774,3.947096946,0.843865096,7.28
2623,485.8,20.6,2.55,0.6351,10.32207416,0.509705516,0.04262542,3.286455915,-5.5647313,-2.875428638,-3.0147313,0.9252687,1.064571362,0.7247313,1.6247313,2.689302662,0.139302662,5.561924373,0.768313889,6.95
2624,516.2,19.4,2.4,0.4399,10.37763985,0.478510686,0.029899971,3.181347754,-5.422415678,-2.960056092,-3.022415678,0.917584322,0.979943908,0.582415678,1.482415678,2.462359586,0.062359586,9.054077571,0.636838334,7.87
2625,481,20.8,2.58,0.4071,10.06168825,0.515513772,0.049457826,3.270308292,-5.476022136,-2.7891685,-2.896022136,1.043977864,1.1508315,0.636022136,1.536022136,2.686853636,0.106853636,8.510868112,0.608348314,6.67
2626,495.5,20.2,2.5,0.5379,10.00628583,0.487009915,0.038457792,3.160367598,-5.343230504,-2.80005306,-2.843230504,1.096769496,1.13994694,0.503230504,1.403230504,2.543177444,0.043177444,6.829632729,0.71019892,5.1
2627,312.6,32,3.97,2.6092,8.542366793,0.559198759,0.106837435,3.197753452,-5.16472372,-1.909423938,-1.19472372,2.74527628,2.030576062,0.32472372,1.22472372,3.255299782,-0.714700218,0.561040621,0.997540765,8.02
2628,316.5,31.6,3.92,1.8107,8.678532652,0.550337731,0.097748196,3.188419311,-5.161186238,-1.997044646,-1.241186238,2.698813762,1.942955354,0.321186238,1.221186238,3.164141592,-0.755858408,0.829050463,0.984536778,4.51
2631,300.4,33.3,4.13,1.7799,8.510039647,0.535736765,0.093526331,3.113175685,-5.082273178,-1.943166074,-0.952273178,2.987726822,1.996833926,0.242273178,1.142273178,3.139107104,-0.990892896,0.759482135,0.983400309,7.63
2632,312.4,32,3.97,2.1777,8.816984269,0.527011956,0.080838709,3.12933215,-5.137240206,-2.018269538,-1.167240206,2.832759794,1.981730462,0.537240206,1.137240206,3.118970668,-0.851029332,0.67220792,0.993357983,5.8
2634,490.6,20.4,2.53,0.4698,10.30686299,0.502307536,0.039879009,3.257709009,-5.507859474,-2.888217996,-2.977859474,0.962140526,1.051782004,0.667859474,1.567859474,2.619641478,0.089641478,7.667049825,0.660999764,6.33
